nombre_ies;codigo_ies;codigo_sede;nombre_sede;codigo_comuna;nombre_comuna;codigo_region;nombre_region;n_sedes
UNIVERSIDAD CATOLICA DEL MAULE (* CARRERA EN CONVENIO UARCIS);92;4;SEDE SANTIAGO;13101;Santiago;13;Metropolitana de Santiago;2
UNIVERSIDAD CATOLICA DEL MAULE (* CARRERA EN CONVENIO UARCIS);92;5;SEDE CONCEPCION;08101;Concepción;08;Biobío;2
UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION;93;1;CASA CENTRAL (CONCEPCION);08101;Concepción;08;Biobío;5
UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION;93;2;IT SEDE TALCAHUANO;08110;Talcahuano;08;Biobío;5
UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION;93;3;IT SEDE CAÑETE;08203;Cañete;08;Biobío;5
UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION;93;4;IT SEDE CHILLAN;16101;Chillán;16;Ñuble;5
UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION;93;5;IT SEDE LOS ANGELES;08301;Los Angeles;08;Biobío;5
UNIVERSIDAD CATOLICA DE TEMUCO;94;1;CASA CENTRAL (TEMUCO);09101;Temuco;09;La Araucanía;3
UNIVERSIDAD CATOLICA DE TEMUCO;94;2;CAMPUS SAN FRANCISCO;09101;Temuco;09;La Araucanía;3
UNIVERSIDAD CATOLICA DE TEMUCO;94;3;CAMPUS NORTE;09101;Temuco;09;La Araucanía;3
